rabbits,wolves,height, prec, temp
2,0,10.160000,0.000000,-17.777778
2,1,5.080000,16.026506,2.148497
2,2,0.144129,14.291388,16.397667
1,1,44.668092,16.402004,21.358460
2,0,58.233771,16.827499,22.610686
2,1,62.502527,12.372535,28.200658
2,2,57.700756,11.200785,23.521368
3,1,58.631959,8.513231,20.562464
3,2,67.698629,7.247656,18.917999
4,3,82.402121,7.535973,15.850343
4,4,105.598341,11.028694,5.018692
5,3,96.712624,9.569700,8.812353
6,4,93.580083,12.054556,8.403990
6,5,87.667469,16.621578,12.837986
7,6,109.760917,17.777853,11.172121
8,7,115.613466,17.303108,23.196695
9,8,102.162698,16.280487,27.994830
9,9,79.623308,14.928303,26.792861
10,8,57.605205,9.279138,21.391640
11,9,45.689033,9.208113,27.789052
11,10,18.065462,6.678980,19.533619
9,11,7.925371,8.414058,17.161681
8,10,19.267521,9.646575,9.134191
7,9,9.997120,12.898030,6.267505
6,8,0.000000,12.106541,6.171754
5,7,0.000000,15.820302,10.456376
4,6,8.464142,17.463140,17.856522
3,5,36.259967,16.107340,21.359982
4,4,44.951743,15.542768,23.186467
5,3,42.310615,14.822672,25.686073
6,4,31.425461,9.868217,25.000593
6,5,18.564785,9.093007,28.731969
6,6,3.468761,6.436296,15.678440
5,5,16.883272,8.519190,10.784416
6,4,22.175815,11.055586,6.885910
6,5,11.015122,10.968691,2.988190
5,6,0.000000,13.086539,3.754489
4,5,0.000000,15.533373,2.258369
3,4,0.000000,16.424051,14.743777
2,3,39.269086,15.736550,19.269604
3,2,65.714991,14.671627,24.559182
2,3,61.752820,12.170717,28.441374
3,2,56.899230,12.684449,27.488467
3,3,49.774336,10.655357,22.767245
4,2,50.577252,9.582606,18.774626
4,3,70.292202,6.912770,12.538552
5,4,83.022045,10.349813,5.601565
6,5,72.115966,10.598145,10.246879
7,6,75.033250,11.816935,6.973883
8,7,61.708743,14.514373,10.091203
8,8,60.644578,15.891860,11.512994
9,7,69.189129,16.072304,22.746260
9,8,55.441839,14.994671,20.498127
9,9,55.375961,14.167958,23.319410
10,8,39.719882,11.840194,29.109374
10,9,14.445964,7.595488,26.238064
9,10,0.000000,8.708315,21.311429
8,9,0.000000,7.983962,15.300034
7,8,14.978969,9.280266,6.485575
6,7,0.027524,12.055237,4.216826
5,6,0.000000,14.890915,0.598109
4,5,0.000000,15.103669,2.965082
3,4,0.000000,15.998169,9.659044
2,3,8.202910,16.705622,17.111717
3,2,46.774136,15.867394,20.702159
4,3,59.951554,13.847913,27.016144
5,4,50.511980,12.601297,30.950809
6,5,37.835011,7.582217,27.350464
7,6,22.966042,6.667309,23.914354
8,7,8.270699,8.215044,10.535956
7,8,4.019452,8.988993,9.536482
6,7,0.000000,11.822667,3.084573
