rabbits,wolves,height, prec, temp
2,1,10.160000,0.000000,-17.777778
3,1,5.080000,16.026506,2.148497
2,1,0.000000,14.291388,16.397667
1,1,44.523964,16.402004,21.358460
2,1,58.089642,16.827499,22.610686
3,1,62.358398,12.372535,28.200658
4,1,55.016627,11.200785,23.521368
5,1,50.867830,8.513231,20.562464
6,1,54.854501,7.247656,18.917999
7,1,61.937993,7.535973,15.850343
8,1,77.514212,11.028694,5.018692
9,1,58.468495,9.569700,8.812353
10,1,45.175954,12.054556,8.403990
11,1,29.103335,16.621578,12.837986
11,1,38.496788,17.777853,11.172121
12,1,34.189338,17.303108,23.196695
13,1,10.578569,16.280487,27.994830
12,1,0.000000,14.928303,26.792861
11,1,0.000000,9.279138,21.391640
10,1,0.000000,9.208113,27.789052
9,1,0.000000,6.678980,19.533619
8,1,0.000000,8.414058,17.161681
7,1,13.882149,9.646575,9.134191
6,1,7.151749,12.898030,6.267505
5,1,0.000000,12.106541,6.171754
4,1,0.000000,15.820302,10.456376
3,1,11.004142,17.463140,17.856522
4,1,41.339967,16.107340,21.359982
5,1,47.491743,15.542768,23.186467
6,1,42.310615,14.822672,25.686073
7,1,28.885461,9.868217,25.000593
8,1,13.484785,9.093007,28.731969
7,1,0.000000,6.436296,15.678440
6,1,10.874511,8.519190,10.784416
5,1,13.627053,11.055586,6.885910
5,1,5.006361,10.968691,2.988190
4,1,0.000000,13.086539,3.754489
3,1,0.000000,15.533373,2.258369
2,1,0.000000,16.424051,14.743777
1,1,41.809086,15.736550,19.269604
2,1,70.794991,14.671627,24.559182
3,1,69.372820,12.170717,28.441374
4,1,61.979230,12.684449,27.488467
5,1,52.314336,10.655357,22.767245
6,1,48.037252,9.582606,18.774626
7,1,62.672202,6.912770,12.538552
8,1,67.782045,10.349813,5.601565
9,1,49.255966,10.598145,10.246879
10,1,44.553250,11.816935,6.973883
11,1,23.608743,14.514373,10.091203
10,1,14.924578,15.891860,11.512994
9,1,18.389129,16.072304,22.746260
8,1,4.641839,14.994671,20.498127
7,1,7.115959,14.167958,23.319410
6,1,0.000000,11.840194,29.109374
5,1,0.000000,7.595488,26.238064
4,1,0.000000,8.708315,21.311429
3,1,2.964261,7.983962,15.300034
2,1,30.643231,9.280266,6.485575
3,1,28.391784,12.055237,4.216826
4,1,21.530985,14.890915,0.598109
5,1,11.406823,15.103669,2.965082
4,1,0.000000,15.998169,9.659044
3,1,5.662910,16.705622,17.111717
2,1,41.694136,15.867394,20.702159
3,1,57.411554,13.847913,27.016144
4,1,50.511980,12.601297,30.950809
5,1,40.375011,7.582217,27.350464
6,1,28.046045,6.667309,23.914354
7,1,15.890702,8.215044,10.535956
6,1,14.179454,8.988993,9.536482
5,1,11.158146,11.822667,3.084573
