rabbits,wolves,height, prec, temp
2,0,10.160000,14.233356,-0.727270
2,1,5.080000,13.256111,11.416690
1,2,0.009439,16.402004,15.606927
0,1,26.470829,17.862776,17.629712
1,0,74.418713,14.165686,25.324885
1,1,109.943783,13.271338,23.521368
2,0,109.709457,10.306383,23.438233
2,1,111.096194,8.282932,23.898977
2,2,111.935639,7.535973,21.601872
3,1,110.696121,9.993418,9.999665
3,2,113.308762,7.776548,11.688124
3,3,121.603546,9.984004,8.403986
4,2,135.225438,14.828427,9.962220
4,3,133.309702,16.742577,6.191146
4,4,141.458585,17.303108,17.445159
5,3,134.048174,17.315765,23.013857
5,4,161.921202,16.721455,23.917092
6,5,156.726906,11.349690,21.391640
7,6,146.383681,11.001264,30.664821
6,7,144.310814,7.714256,24.514597
7,6,129.099290,8.414058,22.913212
7,7,113.859445,8.611299,14.115164
8,6,102.515341,11.104878,9.143278
8,7,117.722388,10.035989,6.171752
8,8,109.730453,14.027151,7.580609
9,7,91.914118,16.427864,12.875548
9,8,75.524634,16.107340,15.608448
9,9,90.613519,16.578045,18.205494
10,8,116.342511,16.615822,22.810304
10,9,128.803252,11.938770,25.000593
10,10,112.024364,10.886158,31.607742
11,9,89.329218,7.471572,20.659417
11,10,61.400128,8.519190,16.535948
11,11,47.723458,10.020309,11.866883
12,10,56.248776,9.175539,5.863961
12,11,53.670057,11.015987,3.754487
12,12,25.109252,13.740222,-0.617398
11,11,0.000000,15.388775,9.762802
10,10,0.000000,15.736550,13.518066
9,9,0.000000,15.706903,19.578209
8,8,20.227636,13.963869,25.565605
7,7,29.116517,14.755002,27.488467
8,6,13.313097,12.448508,25.643014
6,7,0.000000,10.617883,23.755603
5,6,0.000000,6.912770,18.290083
4,5,0.000000,9.314537,10.582538
3,4,13.967025,8.804994,13.122650
4,3,24.650290,9.746383,6.973881
4,4,46.506386,12.721222,7.215436
5,3,40.245940,14.856584,6.532018
5,4,32.794103,16.072304,16.994722
5,5,23.699435,16.029947,15.517152
6,4,56.505471,15.961109,20.443641
7,5,90.012374,13.910747,29.109374
7,6,94.772374,9.388638,29.113833
8,7,77.124469,9.743591,26.292407
7,8,56.910848,7.983962,21.051564
8,7,40.142569,8.244989,11.466548
8,8,33.116283,10.262085,7.092599
9,7,34.016775,12.820362,0.598106
9,8,15.495738,13.310518,0.089315
7,9,0.000000,14.962893,4.678069
6,8,0.000000,16.705622,11.360181
5,7,0.000000,16.902672,15.721188
4,6,13.993356,15.641064,24.140375
5,5,50.487064,14.671850,30.950809
6,4,42.327911,9.375368,30.226237
7,5,27.111291,7.702585,28.895331
7,6,9.369702,8.215044,16.287488
5,7,0.000000,7.953717,14.517456
4,6,23.026104,10.029515,5.960344
5,5,46.901638,9.357533,8.809361
