rabbits,wolves,height, prec, temp
1,2,10.160000,14.233356,-0.727270
2,1,7.629440,13.256111,11.416690
2,2,31.550829,16.402004,15.606927
2,3,74.418713,17.862776,17.629712
3,2,107.403783,14.165686,25.324885
3,3,102.089457,13.271338,23.521368
3,4,100.936194,10.306383,23.438233
4,3,99.235639,8.282932,23.898977
4,4,92.916121,7.535973,21.601872
4,5,92.988762,9.993418,9.999665
5,4,98.743546,7.776548,11.688124
5,5,107.285438,9.984004,8.403986
5,6,102.829702,14.828427,9.962220
6,5,108.438585,16.742577,6.191146
6,6,95.948174,17.303108,17.445159
6,7,121.281202,17.315765,23.013857
7,6,113.546897,16.721455,23.917092
7,7,100.663671,11.349690,21.391640
7,8,98.590804,11.001264,30.664821
8,7,80.839281,7.714256,24.514597
8,8,63.059436,8.414058,22.913212
8,9,49.175332,8.611299,14.115164
9,8,64.382369,11.104878,9.143278
9,9,53.850434,10.035989,6.171752
9,10,33.494099,14.027151,7.580609
8,9,17.104617,16.427864,12.875548
9,8,34.733500,16.107340,15.608448
9,9,60.462492,16.578045,18.205494
9,10,75.463233,16.615822,22.810304
10,9,61.224344,11.938770,25.000593
10,10,38.529194,10.886158,31.607742
9,9,13.140109,7.471572,20.659417
8,8,4.543439,8.519190,16.535948
8,7,20.688757,10.020309,11.866883
8,8,28.270043,9.175539,5.863961
7,7,9.869240,11.015987,3.754487
6,6,0.000000,13.740222,-0.617398
5,5,0.000000,15.388775,9.762802
4,4,4.100273,15.736550,13.518066
4,5,37.027909,15.706903,19.578209
5,4,56.076790,13.963869,25.565605
5,5,45.353370,14.755002,27.488467
5,6,33.154255,12.448508,25.643014
6,5,22.288998,10.617883,23.755603
5,4,12.177982,6.912770,18.290083
5,5,23.605008,9.314537,10.582538
5,6,29.208275,8.804994,13.122650
6,5,48.524373,9.746383,6.973881
6,6,37.183927,12.721222,7.215436
6,7,27.192090,14.856584,6.532018
6,6,15.557422,16.072304,16.994722
6,7,45.823458,16.029947,15.517152
7,6,79.330361,15.961109,20.443641
7,7,84.090361,13.910747,29.109374
7,8,66.442456,9.388638,29.113833
8,7,48.768835,9.743591,26.292407
8,8,29.460556,7.983962,21.051564
8,7,22.434270,8.244989,11.466548
8,8,23.334763,10.262085,7.092599
7,7,7.353725,12.820362,0.598106
6,6,0.000000,13.310518,0.089315
5,5,0.000000,14.962893,4.678069
4,4,0.000000,16.705622,11.360181
4,5,16.533356,16.902672,15.721188
5,4,53.027064,15.641064,24.140375
5,5,44.867911,14.671850,30.950809
5,6,32.191291,9.375368,30.226237
6,5,19.529702,7.702585,28.895331
5,4,4.396775,8.215044,16.287488
5,5,27.422880,7.953717,14.517456
5,6,48.758414,10.029515,5.960344
6,5,38.255741,9.357533,8.809361
