rabbits,wolves,height, prec, temp
2,0,10.160000,0.000000,-17.777778
3,1,5.080000,16.026506,2.148497
2,2,0.000000,14.291388,16.397667
1,1,44.523964,16.402004,21.358460
2,0,58.089642,16.827499,22.610686
3,1,62.358398,12.372535,28.200658
4,2,55.016627,11.200785,23.521368
4,3,50.867830,8.513231,20.562464
4,4,57.394501,7.247656,18.917999
5,3,69.557993,7.535973,15.850343
6,4,90.214212,11.028694,5.018692
6,5,76.248495,9.569700,8.812353
7,6,70.575954,12.054556,8.403990
8,7,62.123335,16.621578,12.837986
9,8,79.136788,17.777853,11.172121
10,9,79.909338,17.303108,23.196695
11,10,61.378569,16.280487,27.994830
12,11,33.759175,14.928303,26.792861
13,12,4.121071,9.279138,21.391640
12,13,0.000000,9.208113,27.789052
11,12,0.000000,6.678980,19.533619
10,11,0.000000,8.414058,17.161681
9,10,8.802149,9.646575,9.134191
8,9,0.000000,12.898030,6.267505
7,8,0.000000,12.106541,6.171754
6,7,0.000000,15.820302,10.456376
5,6,5.924142,17.463140,17.856522
4,5,31.179967,16.107340,21.359982
5,4,37.331743,15.542768,23.186467
6,5,32.150615,14.822672,25.686073
7,6,18.725461,9.868217,25.000593
7,7,3.324785,9.093007,28.731969
6,6,0.000000,6.436296,15.678440
5,5,13.414511,8.519190,10.784416
5,4,18.707053,11.055586,6.885910
6,5,10.086361,10.968691,2.988190
4,6,0.000000,13.086539,3.754489
3,5,0.000000,15.533373,2.258369
2,4,0.000000,16.424051,14.743777
1,3,41.809086,15.736550,19.269604
2,2,70.794991,14.671627,24.559182
3,1,69.372820,12.170717,28.441374
4,2,61.979230,12.684449,27.488467
5,3,52.314336,10.655357,22.767245
6,4,48.037252,9.582606,18.774626
7,5,62.672202,6.912770,12.538552
8,6,67.782045,10.349813,5.601565
9,7,49.255966,10.598145,10.246879
10,8,44.553250,11.816935,6.973883
11,9,23.608743,14.514373,10.091203
10,10,14.924578,15.891860,11.512994
9,9,18.389129,16.072304,22.746260
8,8,4.641839,14.994671,20.498127
7,7,7.115959,14.167958,23.319410
6,6,0.000000,11.840194,29.109374
5,5,0.000000,7.595488,26.238064
4,4,0.000000,8.708315,21.311429
3,3,2.964261,7.983962,15.300034
2,2,30.643231,9.280266,6.485575
3,1,28.391784,12.055237,4.216826
4,2,21.530985,14.890915,0.598109
5,3,11.406823,15.103669,2.965082
4,4,0.000000,15.998169,9.659044
3,3,5.662910,16.705622,17.111717
2,2,41.694136,15.867394,20.702159
3,1,57.411554,13.847913,27.016144
4,2,50.511980,12.601297,30.950809
5,3,40.375011,7.582217,27.350464
6,4,28.046045,6.667309,23.914354
7,5,15.890702,8.215044,10.535956
6,6,14.179454,8.988993,9.536482
5,5,11.158146,11.822667,3.084573
