Arraysize,NonsimdMul,SimdMul,performanceMul,NonSimdmulSum,SimdmulSum,Performance_MulSUm
        1024,    221.65,   1818.88,  8.21,    223.53,   1792.93,  8.02
        2048,    121.12,   1023.04,  8.45,    122.33,   1017.95,  8.32
        4096,    120.80,    948.37,  7.85,    122.86,   1026.86,  8.36
        8192,    120.85,    972.56,  8.05,    123.19,   1006.39,  8.17
       16384,    221.42,   1735.57,  7.84,    225.89,   1823.92,  8.07
       32768,    120.76,    797.49,  6.60,    123.24,   1001.59,  8.13
       65536,    120.70,    781.93,  6.48,    123.22,   1000.35,  8.12
      131072,    120.31,    785.46,  6.53,    122.70,    995.31,  8.11
      262144,    120.00,    770.04,  6.42,    132.43,   1386.96, 10.47
      524288,    209.95,    395.72,  1.88,    218.44,   1767.14,  8.09
     1048576,    211.95,    620.05,  2.93,    220.38,   1536.24,  6.97
     2090152,    207.24,    872.10,  4.21,    225.89,   1006.05,  4.45
     4194304,    212.57,    579.23,  2.72,    221.80,   1057.09,  4.77
     8388608,    217.57,    580.64,  2.67,    219.97,    946.52,  4.30
