Arraysize,NonsimdMul,SimdMul,performanceMul,NonSimdmulSum,SimdmulSum,Performance_MulSUm
        1024,    120.86,    982.80,  8.13,    121.82,    971.73,  7.98
        2048,    121.17,   1023.04,  8.44,    122.31,   1017.95,  8.32
        4096,    120.98,    960.38,  7.94,    122.84,   1025.54,  8.35
        8192,    121.06,    957.14,  7.91,    123.17,   1002.58,  8.14
       16384,    120.84,    968.15,  8.01,    123.26,   1008.80,  8.18
       32768,    120.61,    818.26,  6.78,    123.24,   1002.91,  8.14
       65536,    120.73,    782.92,  6.48,    123.23,   1004.72,  8.15
      131072,    120.36,    782.08,  6.50,    122.60,   1002.62,  8.18
      262144,    119.71,    774.61,  6.47,    122.55,   1001.69,  8.17
      524288,    119.64,    761.20,  6.36,    122.40,    988.58,  8.08
     1048576,    215.82,    837.88,  3.88,    229.11,   1757.69,  7.67
     2090152,    219.14,    618.93,  2.82,    225.51,    846.07,  3.75
     4194304,    218.35,    764.42,  3.50,    227.67,   1252.60,  5.50
     8388608,    222.25,    789.82,  3.55,    227.37,   1223.63,  5.38
