Arraysize,Number if threads,performanceMult,Performance_MultSUm
        1024,           1,  8.25,  8.02
        1024,           2,  8.06,  8.01
        1024,           4,  8.28,  8.02
        1024,           8,  7.88,  8.03
        1024,          16,  8.56,  8.02
        1024,          32,  8.28,  8.04
        2048,           1,  8.44,  8.33
        2048,           2,  8.09,  8.31
        2048,           4,  8.47,  8.35
        2048,           8,  8.11,  8.35
        2048,          16,  8.47,  7.96
        2048,          32,  8.44,  8.31
        4096,           1,  7.91,  8.37
        4096,           2,  8.03,  8.37
        4096,           4,  8.03,  8.00
        4096,           8,  8.09,  8.40
        4096,          16,  7.90,  8.40
        4096,          32,  8.07,  8.39
        8192,           1,  7.97,  8.15
        8192,           2,  8.06,  8.19
        8192,           4,  8.01,  8.15
        8192,           8,  8.01,  8.15
        8192,          16,  7.97,  8.19
        8192,          32,  8.03,  8.16
       16384,           1,  7.83,  8.19
       16384,           2,  7.50,  8.20
       16384,           4,  7.88,  8.22
       16384,           8,  7.80,  8.18
       16384,          16,  7.43,  8.21
       16384,          32,  7.96,  8.20
       32768,           1,  6.22,  8.03
       32768,           2,  3.63,  8.12
       32768,           4,  5.84,  8.02
       32768,           8,  5.50,  8.00
       32768,          16,  5.98,  8.03
       32768,          32,  6.57,  8.04
       65536,           1,  6.07,  8.03
       65536,           2,  5.91,  7.97
       65536,           4,  5.78,  7.95
       65536,           8,  5.90,  7.97
       65536,          16,  6.09,  8.04
       65536,          32,  6.14,  8.04
      131072,           1,  5.99,  8.03
      131072,           2,  6.19,  8.01
      131072,           4,  5.77,  7.95
      131072,           8,  5.85,  8.03
      131072,          16,  5.87,  7.99
      131072,          32,  5.92,  7.95
      262144,           1,  5.87,  8.17
      262144,           2,  5.73,  7.97
      262144,           4,  5.00,  4.46
      262144,           8,  5.30,  8.12
      262144,          16,  5.91,  8.21
      262144,          32,  6.05,  7.73
      524288,           1,  6.10,  8.12
      524288,           2,  3.54,  8.23
      524288,           4,  3.51,  8.03
      524288,           8,  5.87,  4.28
      524288,          16,  5.99,  8.09
      524288,          32,  5.99,  8.23
     1048576,           1,  4.30,  4.18
     1048576,           2,  4.16,  7.32
     1048576,           4,  3.92,  7.61
     1048576,           8,  4.02,  7.35
     1048576,          16,  4.26,  7.68
     1048576,          32,  2.75,  7.39
     2097152,           1,  3.27,  5.23
     2097152,           2,  3.46,  5.22
     2097152,           4,  2.79,  4.75
     2097152,           8,  2.22,  5.22
     2097152,          16,  3.34,  5.10
     2097152,          32,  2.99,  4.64
     4194304,           1,  3.31,  4.89
     4194304,           2,  3.45,  5.10
     4194304,           4,  3.32,  4.29
     4194304,           8,  3.30,  4.85
     4194304,          16,  3.49,  5.52
     4194304,          32,  3.46,  5.69
     8388608,           1,  3.31,  4.79
     8388608,           2,  3.89,  5.89
     8388608,           4,  3.53,  5.75
     8388608,           8,  3.54,  5.13
     8388608,          16,  3.69,  5.94
     8388608,          32,  3.55,  5.13
