Arraysize,Number if threads,performanceMult,Performance_MultSUm
        1024,           1,  8.24,  8.02
        2048,           1,  8.07,  6.98
        4096,           1,  7.93,  8.37
        8192,           1,  7.93,  8.16
       16384,           1,  7.94,  8.20
       32768,           1,  6.73,  8.13
       65536,           1,  6.48,  8.11
      131072,           1,  6.53,  8.13
      262144,           1,  6.41,  8.16
      524288,           1,  6.41,  8.01
     1048576,           1,  3.08,  7.80
     2097152,           1,  3.31,  5.39
     4194304,           1,  3.66,  5.51
     8388608,           1,  3.44,  6.13
        1024,           2,  8.25,  7.66
        2048,           2,  8.48,  7.26
        4096,           2,  8.00,  8.39
        8192,           2,  7.95,  8.07
       16384,           2,  8.01,  8.19
       32768,           2,  6.70,  8.14
       65536,           2,  6.45,  8.15
      131072,           2,  6.50,  8.17
      262144,           2,  6.52,  8.17
      524288,           2,  6.39,  8.10
     1048576,           2,  5.26,  7.85
     2097152,           2,  3.88,  6.21
     4194304,           2,  2.74,  5.96
     8388608,           2,  3.72,  4.93
        1024,           4,  8.21,  8.01
        2048,           4,  8.44,  8.30
        4096,           4,  7.95,  8.31
        8192,           4,  8.01,  8.19
       16384,           4,  7.85,  8.17
       32768,           4,  6.95,  8.12
       65536,           4,  6.49,  8.18
      131072,           4,  6.51,  8.18
      262144,           4,  6.45,  8.20
      524288,           4,  6.40,  8.07
     1048576,           4,  5.31,  7.66
     2097152,           4,  5.14,  3.88
     4194304,           4,  3.36,  5.83
     8388608,           4,  3.44,  4.90
