    1024 ,      1 ,       0.41
    1024 ,      4 ,       0.59
    1024 ,     16 ,       0.36
    1024 ,     64 ,       0.43
    1024 ,    256 ,       0.36
    4096 ,      1 ,       1.37
    4096 ,      4 ,       2.69
    4096 ,     16 ,       2.87
    4096 ,     64 ,       3.05
    4096 ,    256 ,       2.31
   16384 ,      1 ,       1.91
   16384 ,      4 ,       5.67
   16384 ,     16 ,      10.88
   16384 ,     64 ,      12.23
   16384 ,    256 ,       8.04
   65536 ,      1 ,       2.10
   65536 ,      4 ,       7.00
   65536 ,     16 ,      19.07
   65536 ,     64 ,      21.62
   65536 ,    256 ,      11.89
  262144 ,      1 ,       2.12
  262144 ,      4 ,       7.17
  262144 ,     16 ,      19.84
  262144 ,     64 ,      23.72
  262144 ,    256 ,      12.71
 1048576 ,      1 ,       2.24
 1048576 ,      4 ,       7.19
 1048576 ,     16 ,      23.53
 1048576 ,     64 ,      28.42
 1048576 ,    256 ,      15.58
